county_code,county,office,district,party,candidate,votes,pct
26,Grant,U.S. Senate,,DFL,Mark Dayton,1787,50.39
26,Grant,U.S. Senate,,IND,Jim Gibson,187,5.27
26,Grant,U.S. Senate,,R,Rod Grams,1572,44.33
27,Hennepin,President,,DFL,Al Gore,307599,53.88
27,Hennepin,President,,GP,Ralph Nader,35584,6.23
27,Hennepin,President,,LIB,Harry Browne,1537,0.27
27,Hennepin,President,,R,George W. Bush,225657,39.53
27,Hennepin,President,,RP,Pat Buchanan,486,0.09
27,Hennepin,U.S. Senate,,DFL,Mark Dayton,298660,53.86
27,Hennepin,U.S. Senate,,IND,Jim Gibson,43162,7.78
27,Hennepin,U.S. Senate,,R,Rod Grams,212718,38.36
28,Houston,President,,DFL,Al Gore,4502,44.85
28,Houston,President,,GP,Ralph Nader,421,4.19
28,Houston,President,,LIB,Harry Browne,28,0.28
28,Houston,President,,R,George W. Bush,5077,50.58
28,Houston,President,,RP,Pat Buchanan,9,0.09
28,Houston,U.S. Senate,,DFL,Mark Dayton,4316,44.73
28,Houston,U.S. Senate,,IND,Jim Gibson,227,2.35
28,Houston,U.S. Senate,,R,Rod Grams,5106,52.92
29,Hubbard,President,,DFL,Al Gore,3632,38.39
29,Hubbard,President,,GP,Ralph Nader,484,5.12
29,Hubbard,President,,LIB,Harry Browne,25,0.26
29,Hubbard,President,,R,George W. Bush,5307,56.10
29,Hubbard,President,,RP,Pat Buchanan,12,0.13
29,Hubbard,U.S. Senate,,DFL,Mark Dayton,4119,44.29
29,Hubbard,U.S. Senate,,IND,Jim Gibson,357,3.84
29,Hubbard,U.S. Senate,,R,Rod Grams,4825,51.88
30,Isanti,President,,DFL,Al Gore,6247,42.42
30,Isanti,President,,GP,Ralph Nader,753,5.11
30,Isanti,President,,LIB,Harry Browne,39,0.26
30,Isanti,President,,R,George W. Bush,7668,52.07
30,Isanti,President,,RP,Pat Buchanan,18,0.12
30,Isanti,U.S. Senate,,DFL,Mark Dayton,5983,41.03
30,Isanti,U.S. Senate,,IND,Jim Gibson,932,6.39
30,Isanti,U.S. Senate,,R,Rod Grams,7666,52.58
31,Itasca,President,,DFL,Al Gore,10583,49.57
31,Itasca,President,,GP,Ralph Nader,1137,5.33
31,Itasca,President,,LIB,Harry Browne,49,0.23
31,Itasca,President,,R,George W. Bush,9545,44.71
31,Itasca,President,,RP,Pat Buchanan,37,0.17
31,Itasca,U.S. Senate,,DFL,Mark Dayton,11855,55.95
31,Itasca,U.S. Senate,,IND,Jim Gibson,622,2.94
31,Itasca,U.S. Senate,,R,Rod Grams,8710,41.11
32,Jackson,President,,DFL,Al Gore,2364,44.21
32,Jackson,President,,GP,Ralph Nader,194,3.63
32,Jackson,President,,LIB,Harry Browne,6,0.11
32,Jackson,President,,R,George W. Bush,2773,51.86
32,Jackson,President,,RP,Pat Buchanan,10,0.19
32,Jackson,U.S. Senate,,DFL,Mark Dayton,2614,49.10
32,Jackson,U.S. Senate,,IND,Jim Gibson,178,3.34
32,Jackson,U.S. Senate,,R,Rod Grams,2532,47.56
33,Kanabec,President,,DFL,Al Gore,2831,42.36
33,Kanabec,President,,GP,Ralph Nader,344,5.15
33,Kanabec,President,,LIB,Harry Browne,17,0.25
33,Kanabec,President,,R,George W. Bush,3480,52.07
33,Kanabec,President,,RP,Pat Buchanan,11,0.16
33,Kanabec,U.S. Senate,,DFL,Mark Dayton,2948,44.62
33,Kanabec,U.S. Senate,,IND,Jim Gibson,370,5.60
33,Kanabec,U.S. Senate,,R,Rod Grams,3289,49.78
34,Kandiyohi,President,,DFL,Al Gore,8220,43.21
34,Kandiyohi,President,,GP,Ralph Nader,734,3.86
34,Kandiyohi,President,,LIB,Harry Browne,25,0.13
34,Kandiyohi,President,,R,George W. Bush,10026,52.70
34,Kandiyohi,President,,RP,Pat Buchanan,18,0.09
34,Kandiyohi,U.S. Senate,,DFL,Mark Dayton,9120,48.10
34,Kandiyohi,U.S. Senate,,IND,Jim Gibson,893,4.71
34,Kandiyohi,U.S. Senate,,R,Rod Grams,8947,47.19
35,Kittson,President,,DFL,Al Gore,1107,43.63
35,Kittson,President,,GP,Ralph Nader,68,2.68
35,Kittson,President,,LIB,Harry Browne,3,0.12
35,Kittson,President,,R,George W. Bush,1353,53.33
35,Kittson,President,,RP,Pat Buchanan,6,0.24
35,Kittson,U.S. Senate,,DFL,Mark Dayton,1415,54.95
35,Kittson,U.S. Senate,,IND,Jim Gibson,41,1.59
35,Kittson,U.S. Senate,,R,Rod Grams,1119,43.46
36,Koochiching,President,,DFL,Al Gore,2903,42.94
36,Koochiching,President,,GP,Ralph Nader,302,4.47
36,Koochiching,President,,LIB,Harry Browne,18,0.27
36,Koochiching,President,,R,George W. Bush,3523,52.11
36,Koochiching,President,,RP,Pat Buchanan,15,0.22
36,Koochiching,U.S. Senate,,DFL,Mark Dayton,3323,49.46
36,Koochiching,U.S. Senate,,IND,Jim Gibson,184,2.74
36,Koochiching,U.S. Senate,,R,Rod Grams,3211,47.80
37,Lac qui Parle,President,,DFL,Al Gore,2244,51.52
37,Lac qui Parle,President,,GP,Ralph Nader,160,3.67
37,Lac qui Parle,President,,LIB,Harry Browne,7,0.16
37,Lac qui Parle,President,,R,George W. Bush,1941,44.56
37,Lac qui Parle,President,,RP,Pat Buchanan,4,0.09
37,Lac qui Parle,U.S. Senate,,DFL,Mark Dayton,2431,55.43
37,Lac qui Parle,U.S. Senate,,IND,Jim Gibson,181,4.13
37,Lac qui Parle,U.S. Senate,,R,Rod Grams,1774,40.45
